#OTU ID	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN143725_c0_g2_i5	0	0	1	10	0	1
TRINITY_DN137764_c2_g1_i2	0	0	1	0	24	0
TRINITY_DN144881_c7_g2_i1	151	0	0	0	64	0
TRINITY_DN135927_c1_g1_i1	0	0	1	0	0	3
TRINITY_DN144529_c5_g4_i2	7	0	0	0	0	1
TRINITY_DN139222_c2_g3_i1	17	0	0	0	26	0
TRINITY_DN136922_c1_g3_i3	0	0	0	2	0	2
TRINITY_DN144397_c3_g3_i1	0	0	3	0	0	24
TRINITY_DN143795_c3_g2_i4	1	9	4	8	0	0
TRINITY_DN142272_c5_g1_i4	1	0	1	0	0	5
TRINITY_DN142809_c8_g1_i1	0	0	3	0	0	2
TRINITY_DN144768_c2_g1_i1	40	0	3	0	2	13
TRINITY_DN140014_c6_g5_i1	0	0	6	0	0	3
TRINITY_DN139094_c2_g1_i5	0	0	0	22	0	3
TRINITY_DN137621_c1_g1_i1	1	0	18	4	0	1
TRINITY_DN142988_c3_g2_i1	1	0	0	0	0	0
TRINITY_DN144808_c0_g1_i2	0	0	1	0	0	1
TRINITY_DN144559_c1_g1_i12	0	0	4	0	0	0
TRINITY_DN139448_c3_g2_i1	0	43	4	8	0	2
TRINITY_DN143647_c9_g1_i2	4	0	0	0	0	3
TRINITY_DN142116_c1_g1_i10	0	0	3	0	0	11
TRINITY_DN142437_c0_g3_i2	0	0	0	1	0	2
TRINITY_DN137920_c0_g1_i1	1	0	0	5	0	0
TRINITY_DN141885_c1_g3_i1	3	0	2	44	0	1
TRINITY_DN145708_c0_g1_i3	0	0	0	9	0	2
TRINITY_DN141681_c4_g2_i5	0	0	1	0	0	10
TRINITY_DN138696_c6_g1_i1	1	0	0	0	15	0
TRINITY_DN135914_c2_g2_i1	1	1	1	9	0	1
TRINITY_DN141681_c3_g1_i3	1	0	3	0	0	2
TRINITY_DN136346_c15_g3_i6	1	0	3	4	0	0
TRINITY_DN145567_c1_g1_i9	1	0	0	33	0	0
TRINITY_DN123575_c10_g1_i1	4496	0	0	0	7533	0
TRINITY_DN141429_c0_g1_i4	0	6	5	0	0	1
TRINITY_DN141533_c2_g3_i4	0	0	2	0	0	1
TRINITY_DN134799_c1_g1_i1	1	0	0	4	16	0
TRINITY_DN145703_c5_g2_i6	1	0	3	0	0	1
TRINITY_DN59820_c3_g1_i1	79	0	1	0	0	10
TRINITY_DN139620_c0_g1_i1	3	0	1	14	0	0
TRINITY_DN140268_c4_g1_i1	4	0	0	0	0	16
TRINITY_DN143715_c2_g2_i3	0	0	0	3	1	0
TRINITY_DN142873_c4_g5_i5	0	16	15	0	0	3
TRINITY_DN142789_c0_g3_i5	0	5	0	3	0	0
TRINITY_DN145655_c4_g1_i2	70	28	2	0	0	45
TRINITY_DN142761_c17_g1_i7	14	0	0	30	0	1
TRINITY_DN144104_c1_g2_i1	37	0	0	0	9	0
TRINITY_DN141923_c4_g1_i10	1	2	0	2	0	0
TRINITY_DN383713_c2_g1_i1	1	18	44	22	7	410
TRINITY_DN145542_c10_g3_i3	1	0	2	1	0	1
TRINITY_DN145493_c5_g1_i1	2	0	0	0	0	1
TRINITY_DN141358_c25_g1_i2	1	0	0	0	42	0
TRINITY_DN142193_c5_g2_i1	1	0	0	16	0	0
TRINITY_DN137491_c0_g1_i3	1	0	2	0	0	1
TRINITY_DN143696_c5_g2_i4	2	0	0	0	0	2
TRINITY_DN144608_c1_g1_i5	0	0	0	7	0	1
TRINITY_DN136333_c2_g2_i3	1	0	0	1	0	0
TRINITY_DN134556_c3_g2_i2	2	55	1	3	0	0
TRINITY_DN140852_c3_g1_i1	7	0	0	0	10	20
TRINITY_DN137801_c0_g1_i10	2	0	1	1	0	0
TRINITY_DN144653_c7_g8_i1	17	0	37	407	55	306
TRINITY_DN143948_c6_g3_i3	1	0	1	0	0	22
TRINITY_DN145741_c0_g1_i2	5	0	53	0	42	13
TRINITY_DN139212_c16_g1_i3	0	30	38	2	0	0
TRINITY_DN137643_c3_g7_i1	0	3	0	0	0	3
TRINITY_DN140323_c17_g1_i4	0	0	7	13	0	0
TRINITY_DN134848_c2_g1_i1	1	0	0	0	17	0
TRINITY_DN143085_c4_g1_i1	2	0	3	6	0	0
TRINITY_DN145842_c0_g1_i1	15	0	263	1	0	0
TRINITY_DN138017_c4_g1_i5	1	0	1	0	0	1
TRINITY_DN140045_c1_g6_i1	0	0	3	5	0	3
TRINITY_DN142309_c15_g5_i1	30	0	0	0	0	5
TRINITY_DN77203_c1_g3_i1	0	1	19	2	0	0
TRINITY_DN139870_c0_g1_i2	4	0	0	0	0	1
TRINITY_DN143355_c2_g3_i1	1	0	0	0	65	5
TRINITY_DN144559_c1_g1_i11	2	0	1	7	0	1
TRINITY_DN136090_c0_g1_i2	0	0	1	12	0	0
TRINITY_DN142399_c1_g1_i1	0	0	1	1	0	0
TRINITY_DN145517_c2_g1_i1	5	0	0	0	0	0
TRINITY_DN137601_c4_g7_i1	2	0	0	0	4	0
TRINITY_DN139802_c0_g3_i4	0	0	0	3	0	1
TRINITY_DN144028_c0_g1_i1	1	0	0	0	0	1
TRINITY_DN142271_c2_g1_i8	0	0	0	0	0	5
TRINITY_DN131368_c0_g2_i2	0	0	0	0	0	1
TRINITY_DN139985_c3_g1_i1	2	3	0	9	0	2
TRINITY_DN144293_c4_g2_i6	2	0	1	4	0	0
TRINITY_DN139533_c3_g1_i1	4	0	1	0	10	0
TRINITY_DN145365_c5_g8_i1	1	0	0	0	0	1
TRINITY_DN143669_c0_g5_i1	1	0	2	2	0	0
TRINITY_DN144827_c1_g1_i6	5	0	0	4	0	0
TRINITY_DN141456_c1_g2_i1	1	0	4	0	0	3
TRINITY_DN141375_c1_g1_i6	0	0	1	5	0	0
TRINITY_DN141629_c0_g1_i2	1	0	0	23	0	7
TRINITY_DN137703_c6_g1_i1	5	0	0	0	41	0
TRINITY_DN141192_c7_g16_i2	4	269	26	6	52	3
TRINITY_DN142069_c4_g1_i9	0	0	7	4	2	11
TRINITY_DN136073_c11_g6_i1	1	0	0	0	16	0
TRINITY_DN129325_c0_g2_i1	0	0	2	53	0	2
TRINITY_DN142537_c3_g9_i1	1	0	0	0	1	0
TRINITY_DN145391_c5_g1_i4	1	0	0	0	0	6
TRINITY_DN141619_c2_g1_i5	1	2	112	7	0	11
TRINITY_DN136345_c1_g1_i1	1	0	0	0	0	1
TRINITY_DN140884_c10_g2_i3	1	0	0	0	0	1
TRINITY_DN145577_c2_g1_i1	88	0	9	50	2	25
TRINITY_DN70273_c9_g3_i1	69	0	0	0	4	65
TRINITY_DN144474_c1_g1_i1	2	0	7	0	0	0
TRINITY_DN140848_c2_g1_i1	0	0	2	0	1	0
