sequence	GRAVY index
>dbAMP_00970	-0.09113924050632913
>dbAMP_00978	-0.4041666666666666
>dbAMP_00998	-3.5
>dbAMP_01001	0.9399999999999998
>dbAMP_01022	-2.9000000000000004
>dbAMP_01028	-0.042105263157894764
>dbAMP_01034	0.052830188679245264
>dbAMP_01035	0.0471698113207547
>dbAMP_01039	0.08181818181818179
>dbAMP_01052	-0.3138888888888889
>dbAMP_01069	-0.5301960784313726
>dbAMP_01074	0.3266666666666667
>dbAMP_01075	0.8855263157894736
>dbAMP_01079	-0.04545454545454544
>dbAMP_01112	-1.5346153846153845
>dbAMP_01128	-1.2142857142857142
>dbAMP_01146	-1.49
>dbAMP_01165	-1.0333333333333334
>dbAMP_01169	0.25849056603773585
>dbAMP_01207	-2.0947368421052635
>dbAMP_01209	-0.6863636363636364
>dbAMP_01263	1.1222222222222222
>dbAMP_01265	0.964516129032258
>dbAMP_01272	-0.43333333333333335
>dbAMP_01287	0.580281690140845
>dbAMP_01390	-0.09500000000000003
>dbAMP_01392	-0.9818181818181818
>dbAMP_01402	-0.8934426229508197
>dbAMP_01429	-0.7266666666666667
>dbAMP_01435	-1.09
>dbAMP_01439	0.783076923076923
>dbAMP_01469	-0.3754716981132076
>dbAMP_01470	0.12777777777777774
>dbAMP_01482	0.13333333333333322
>dbAMP_01483	-0.4181818181818182
>dbAMP_01488	-0.4454545454545455
>dbAMP_01490	-1.4444444444444444
>dbAMP_01519	-1.0266666666666666
>dbAMP_01547	-0.46153846153846156
>dbAMP_01555	-0.44999999999999996
>dbAMP_01581	-0.17800000000000002
>dbAMP_01582	-0.248
>dbAMP_01585	-1.106896551724138
>dbAMP_01596	-0.5692307692307692
>dbAMP_01598	0.7526315789473683
>dbAMP_01608	0.6916666666666665
>dbAMP_01611	0.8181818181818182
>dbAMP_01628	0.2742857142857143
>dbAMP_01648	0.9692307692307692
>dbAMP_01701	1.0461538461538462
>dbAMP_01716	1.5769230769230769
>dbAMP_01719	0.37368421052631573
>dbAMP_01746	0.14400000000000002
>dbAMP_01761	1.669230769230769
>dbAMP_01836	0.475
>dbAMP_01840	-0.43846153846153846
>dbAMP_01842	-0.10000000000000002
>dbAMP_01845	-0.013636363636363663
>dbAMP_01846	0.004545454545454514
>dbAMP_01851	1.7615384615384615
>dbAMP_01905	1.5538461538461539
>dbAMP_01948	1.425
>dbAMP_01954	1.9
>dbAMP_01994	1.7307692307692308
>dbAMP_02002	1.9
>dbAMP_02005	1.8153846153846152
>dbAMP_02007	1.4769230769230768
>dbAMP_02009	1.4615384615384615
>dbAMP_02037	2.023076923076923
>dbAMP_02099	1.8846153846153846
>dbAMP_02100	1.3466666666666667
>dbAMP_02102	1.8076923076923077
>dbAMP_02105	1.7153846153846155
>dbAMP_02121	1.6538461538461537
>dbAMP_02129	1.515
>dbAMP_02135	1.2521739130434784
>dbAMP_02136	1.9923076923076921
>dbAMP_02137	1.8538461538461537
>dbAMP_02151	-0.8
>dbAMP_02257	0.08666666666666667
>dbAMP_02281	0.04499999999999994
>dbAMP_02334	-0.41132075471698115
>dbAMP_02356	-0.41714285714285715
>dbAMP_02383	1.7999999999999998
>dbAMP_02392	0.013333333333333319
>dbAMP_02409	-0.6272727272727273
>dbAMP_02430	0.8738095238095239
>dbAMP_02438	-0.4352941176470588
>dbAMP_02440	-0.932
>dbAMP_02464	-1.1
>dbAMP_02471	0.11444444444444445
>dbAMP_02491	0.06547619047619045
>dbAMP_02492	0.043749999999999976
>dbAMP_02493	0.01309523809523807
>dbAMP_02575	-0.775
>dbAMP_02595	0.71875
>dbAMP_02677	-0.7999999999999999
>dbAMP_02699	-0.16909090909090907
>dbAMP_02700	-0.24745762711864405
>dbAMP_02716	-0.20000000000000004
>dbAMP_02717	0.3999999999999999
>dbAMP_02719	0.8733333333333333
>dbAMP_02720	0.8366666666666667
>dbAMP_02728	0.176
>dbAMP_02774	-0.531390134529148
>dbAMP_02899	-0.36428571428571427
>dbAMP_02957	-0.1590909090909091
>dbAMP_02960	-0.01304347826086959
>dbAMP_03222	0.11153846153846152
>dbAMP_03243	0.06666666666666661
>dbAMP_03435	1.6727272727272726
>dbAMP_03437	0.24054054054054055
>dbAMP_03438	0.7354838709677419
>dbAMP_03485	0.3
>dbAMP_03566	0.63
>dbAMP_03769	-0.982608695652174
>dbAMP_03879	0.25925925925925924
>dbAMP_03884	-0.38709677419354843
>dbAMP_03885	-0.41515151515151516
>dbAMP_03893	1.3433333333333333
>dbAMP_03894	-0.44660194174757284
>dbAMP_03897	0.11999999999999998
>dbAMP_03899	-0.10476190476190479
>dbAMP_03900	0.08749999999999997
>dbAMP_03907	-0.05833333333333333
>dbAMP_03958	0.4842105263157894
>dbAMP_03979	-1.1222222222222222
>dbAMP_04052	-1.4000000000000001
>dbAMP_04054	-0.2749019607843138
>dbAMP_04057	-1.1
>dbAMP_04059	0.45199999999999996
>dbAMP_04096	-0.47000000000000003
>dbAMP_04097	-0.41111111111111115
>dbAMP_04099	0.22727272727272727
>dbAMP_04175	-0.37894736842105264
>dbAMP_04191	-0.7435897435897436
>dbAMP_04192	-0.8410256410256409
>dbAMP_04206	0.17777777777777778
>dbAMP_04240	1.2526315789473685
>dbAMP_04312	0.36
>dbAMP_04374	-0.32249999999999995
>dbAMP_04388	0.6666666666666666
>dbAMP_04402	1.24
>dbAMP_04520	0.03255813953488372
>dbAMP_04536	-0.3055555555555556
>dbAMP_04539	-0.1972972972972973
>dbAMP_04540	1.1176470588235294
>dbAMP_04541	0.4272727272727273
>dbAMP_04542	0.39545454545454545
>dbAMP_04562	0.8714285714285713
>dbAMP_04572	1.6999999999999997
>dbAMP_04593	0.011111111111111108
>dbAMP_04667	0.16896551724137931
>dbAMP_04668	-0.23658536585365855
>dbAMP_04687	-0.6062500000000001
>dbAMP_04689	1.552941176470588
>dbAMP_04690	1.7117647058823529
>dbAMP_04702	0.8692307692307691
>dbAMP_04704	0.7769230769230769
>dbAMP_04739	-0.4142857142857143
>dbAMP_04770	-0.7833333333333333
>dbAMP_04775	1.3923076923076922
>dbAMP_04789	1.0214285714285716
>dbAMP_04799	0.6714285714285715
>dbAMP_04839	-0.5324840764331211
>dbAMP_04876	0.8249999999999998
>dbAMP_04877	0.7363636363636363
>dbAMP_04882	2.6125
>dbAMP_04885	0.48235294117647054
>dbAMP_04901	1.2714285714285714
>dbAMP_04902	1.1099999999999999
>dbAMP_04903	0.5590909090909091
>dbAMP_04906	0.41470588235294115
>dbAMP_04907	0.4058823529411764
>dbAMP_04908	0.39705882352941174
>dbAMP_04909	0.5235294117647059
>dbAMP_04910	0.4483870967741935
>dbAMP_04911	0.16249999999999998
>dbAMP_04925	-0.553125
>dbAMP_04934	0.12857142857142856
>dbAMP_04935	1.0017241379310344
>dbAMP_04936	0.9824561403508771
>dbAMP_04937	0.996551724137931
>dbAMP_04938	1.0362068965517242
>dbAMP_04939	0.1125
>dbAMP_04963	-0.3931034482758621
>dbAMP_04993	-0.033333333333333354
>dbAMP_05025	-1.4989690721649485
>dbAMP_05028	0.05185185185185183
>dbAMP_05029	0.29259259259259257
>dbAMP_05032	0.14117647058823532
>dbAMP_05033	-0.970967741935484
>dbAMP_05035	0.16874999999999996
>dbAMP_05036	-1.6272727272727272
>dbAMP_05051	-1.7157894736842105
>dbAMP_05124	0.32857142857142846
>dbAMP_05125	-0.3875
>dbAMP_05128	-0.011111111111111125
>dbAMP_05139	-0.12727272727272732
>dbAMP_05145	0.05384615384615383
>dbAMP_05153	-0.8057142857142857
>dbAMP_05154	-0.8
>dbAMP_05155	-0.36521739130434777
>dbAMP_05164	-0.07142857142857142
>dbAMP_05191	-0.24444444444444446
>dbAMP_05211	-0.6069767441860465
>dbAMP_05212	-0.6651162790697674
>dbAMP_05213	-0.43255813953488376
>dbAMP_05214	-0.31860465116279074
>dbAMP_05215	-0.24186046511627912
>dbAMP_05248	-0.26
>dbAMP_05273	0.88
>dbAMP_05274	0.19545454545454544
>dbAMP_05285	-0.3333333333333333
>dbAMP_05297	-0.6424242424242425
>dbAMP_05298	-0.505072463768116
>dbAMP_05363	-0.4230769230769231
>dbAMP_05368	-0.12857142857142861
>dbAMP_05369	-0.5488372093023255
>dbAMP_05370	-0.555813953488372
>dbAMP_05373	-1.1800000000000002
>dbAMP_05392	-1.0115384615384615
>dbAMP_05403	-0.5571428571428572
>dbAMP_05405	-0.2982758620689655
>dbAMP_05435	0.9142857142857143
>dbAMP_05452	0.9113636363636364
>dbAMP_05492	0.19333333333333336
>dbAMP_05493	0.26
>dbAMP_05521	-0.6705882352941177
>dbAMP_05554	-0.1511627906976744
>dbAMP_05555	-0.42500000000000004
>dbAMP_05556	-0.4216216216216216
>dbAMP_05557	-0.7777777777777778
>dbAMP_05558	-0.36818181818181817
>dbAMP_05559	-0.5744186046511628
>dbAMP_05560	-0.5857142857142857
>dbAMP_05561	-0.39722222222222225
>dbAMP_05562	-0.41081081081081083
>dbAMP_05563	-0.3918918918918919
>dbAMP_05564	-0.3216216216216216
>dbAMP_05565	-0.5702702702702703
>dbAMP_05566	-0.5540540540540541
>dbAMP_05567	-0.12325581395348835
>dbAMP_05568	-0.2534883720930233
>dbAMP_05569	-0.2534883720930233
>dbAMP_05570	-0.3136363636363636
>dbAMP_05571	-0.2972972972972973
>dbAMP_05572	-0.49318181818181817
>dbAMP_05573	-0.4295454545454545
>dbAMP_05574	-0.5547619047619048
>dbAMP_05575	-0.4738095238095238
>dbAMP_05576	-0.2783783783783784
>dbAMP_05577	-0.35
>dbAMP_05593	0.937142857142857
>dbAMP_05605	0.1640625
>dbAMP_05741	-0.191
>dbAMP_05742	-0.2118811881188119
>dbAMP_05743	-0.44653465346534654
>dbAMP_05744	-0.44653465346534654
>dbAMP_05748	-0.42752293577981654
>dbAMP_05768	0.8262295081967213
>dbAMP_05820	1.7714285714285711
>dbAMP_05857	0.8875
>dbAMP_05865	1.4615384615384615
>dbAMP_05869	1.669230769230769
>dbAMP_05934	-0.2083333333333334
>dbAMP_05989	-0.5514285714285715
>dbAMP_06011	-0.5545454545454546
>dbAMP_06016	0.4846153846153846
>dbAMP_06027	1.2942857142857143
>dbAMP_06033	0.2222222222222222
>dbAMP_06039	0.8399999999999999
>dbAMP_06043	0.74
>dbAMP_06066	-0.6535714285714286
>dbAMP_06068	1.507142857142857
>dbAMP_06069	0.8866666666666667
>dbAMP_06070	1.0583333333333333
>dbAMP_06081	0.7508196721311475
>dbAMP_06092	-0.4485714285714286
>dbAMP_06096	1.2090909090909092
>dbAMP_06099	-0.08185483870967743
>dbAMP_06100	-0.08548387096774193
>dbAMP_06132	0.584
>dbAMP_06133	-0.01960784313725492
>dbAMP_06150	-0.40571428571428575
>dbAMP_06151	-0.5270833333333333
>dbAMP_06215	0.3
>dbAMP_06224	-0.06614583333333335
>dbAMP_06225	-0.028235294117647077
>dbAMP_06256	0.5485714285714286
>dbAMP_06257	0.6585714285714286
>dbAMP_06258	0.5385714285714286
>dbAMP_06259	-0.867843137254902
>dbAMP_06271	0.24821428571428572
>dbAMP_06272	-0.2948148148148148
>dbAMP_06281	0.28214285714285714
>dbAMP_06286	0.060714285714285686
>dbAMP_06339	-0.32117647058823534
>dbAMP_06361	-0.07424242424242426
>dbAMP_06404	-0.45725490196078433
>dbAMP_06469	-0.2622754491017964
>dbAMP_06486	-0.23098039215686278
>dbAMP_06507	-0.0649122807017544
>dbAMP_06533	-0.22162162162162166
>dbAMP_06615	0.06666666666666665
>dbAMP_06622	-0.20901960784313728
>dbAMP_06631	0.158
>dbAMP_06632	0.04624505928853753
>dbAMP_06639	-0.02117647058823531
>dbAMP_06640	-0.5592592592592593
>dbAMP_06682	-0.027868852459016394
>dbAMP_06696	-0.35372549019607846
>dbAMP_06697	-0.35372549019607846
>dbAMP_06698	-0.34431372549019607
>dbAMP_06717	0.5704545454545454
>dbAMP_06735	0.04117647058823528
>dbAMP_06736	-0.3065573770491803
>dbAMP_06737	-0.2754098360655738
