index	15	24	74	90	146	153	164	258
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	3886.0	10371.0	26659.0	6966.0	3399.0	11075.0	8271.0	31575.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae	2069.0	12591.0	3666.0	4798.0	38.0	37.0	651.0	879.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	744.0	1932.0	2074.0	105.0	2760.0	7818.0	343.0	1996.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	316.0	1762.0	3119.0	336.0	245.0	2907.0	4917.0	1382.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	631.0	1799.0	334.0	279.0	3276.0	5307.0	2197.0	1451.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	117.0	198.0	1844.0	84.0	1307.0	252.0	867.0	9491.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	81.0	137.0	598.0	258.0	893.0	457.0	86.0	4818.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	96.0	326.0	260.0	32.0	746.0	368.0	229.0	8728.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	4.0	4051.0	2.0	0.0	1.0	7.0	4.0	10.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	1304.0	4302.0	3754.0	880.0	1188.0	4021.0	2007.0	4404.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae	313.0	1451.0	1097.0	62.0	25.0	1655.0	57.0	244.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group	64.0	2473.0	200.0	37.0	342.0	1233.0	72.0	1308.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae	0.0	0.0	1577.0	1.0	5.0	4.0	24.0	2.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	9.0	135.0	34.0	82.0	0.0	1508.0	7.0	5.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	144.0	13.0	7.0	2.0	636.0	373.0	20.0	26.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	42.0	4.0	64.0	2.0	198.0	23.0	36.0	637.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae	56.0	177.0	314.0	128.0	21.0	34.0	192.0	141.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	32.0	1209.0	64.0	62.0	9.0	1235.0	73.0	475.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.0	5.0	1101.0	165.0	3.0	2.0	0.0	13.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	36.0	70.0	142.0	7.0	5.0	504.0	430.0	42.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	27.0	247.0	241.0	37.0	6.0	183.0	417.0	151.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	5.0	117.0	40.0	10.0	775.0	32.0	55.0	31.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	26.0	18.0	16.0	5.0	19.0	77.0	43.0	514.0
